pit_tag_id,release_date,treatment,frog_sex,frog_state,frog_weight,frog_svl
900043000104512,2014-06-28,treated,f,healthy,11,46
900043000104531,2014-06-28,treated,f,healthy,13,51
900043000104540,2014-06-28,treated,m,healthy,12,44
900043000104552,2014-06-28,treated,m,healthy,10,42
900043000104522,2014-06-28,treated,m,healthy,10,44
900043000104588,2014-06-28,treated,f,healthy,10,40
900043000104574,2014-06-28,treated,f,healthy,11,45
900043000104571,2014-06-28,treated,f,healthy,13,48
900043000104536,2014-06-28,treated,m,healthy,13,49
900043000104572,2014-06-28,treated,f,healthy,11,47
900043000104590,2014-06-28,treated,f,healthy,10,48
900043000104594,2014-06-28,treated,m,healthy,11,47
900043000104542,2014-06-28,treated,m,healthy,11,46
900043000104529,2014-06-28,treated,f,healthy,10,44
900043000104567,2014-06-28,treated,f,healthy,10,46
900043000104547,2014-06-28,treated,m,healthy,11,49
900043000104561,2014-06-28,treated,m,healthy,10,44
900043000104549,2014-06-28,treated,m,healthy,11,46
900043000104584,2014-06-28,treated,m,healthy,9,46
900043000104530,2014-06-28,treated,f,healthy,12,48
900118001027515,2014-06-28,treated,f,healthy,14,50
900118001058387,2014-06-28,treated,f,healthy,13,50
900118001029497,2014-06-28,treated,m,healthy,15,52
900118001029229,2014-06-28,treated,f,healthy,11,47
900118001027772,2014-06-28,treated,f,healthy,11,43
900043000104599,2014-06-28,untreated,m,healthy,12,44
900043000104554,2014-06-28,untreated,m,healthy,12,43
900043000104587,2014-06-28,untreated,f,healthy,11,43
900043000104591,2014-06-28,untreated,f,healthy,14,49
900043000104543,2014-06-28,untreated,m,healthy,11,44
900043000104505,2014-06-28,untreated,m,healthy,11,46
900043000104556,2014-06-28,untreated,f,healthy,12,49
900043000104520,2014-06-28,untreated,m,healthy,12,45
900043000104575,2014-06-28,untreated,f,healthy,10,43
900043000104555,2014-06-28,untreated,f,healthy,18,52
900043000104502,2014-06-28,untreated,m,healthy,12,45
900043000104589,2014-06-28,untreated,f,healthy,9,46
900043000104513,2014-06-28,untreated,m,healthy,12,50
900043000104526,2014-06-28,untreated,m,healthy,11,48
900043000104553,2014-06-28,untreated,f,healthy,8,44
900043000104510,2014-06-28,untreated,f,healthy,9,44
900043000104521,2014-06-28,untreated,m,healthy,10,46
900043000104532,2014-06-28,untreated,f,healthy,12,49
900043000104579,2014-06-28,untreated,m,healthy,11,50
900043000104546,2014-06-28,untreated,f,healthy,10,45
900043000104568,2014-06-28,untreated,f,healthy,10,49
900043000104539,2014-06-28,untreated,f,healthy,12,51
900043000104516,2014-06-28,untreated,f,healthy,10,44
900043000104524,2014-06-28,untreated,f,healthy,10,44
900043000104562,2014-06-28,untreated,f,healthy,9,43
900067000114018,2017-08-09,,f,healthy,10,48
900067000114138,2017-08-09,,f,healthy,15,54
900067000114178,2017-08-09,,f,healthy,10,44
900067000114099,2017-08-09,,m,healthy,9,46
900067000114108,2017-08-09,,m,healthy,11,48
900067000114136,2017-08-09,,m,healthy,10,45
900067000117418,2017-08-09,,m,healthy,10,46
900067000117394,2017-08-09,,m,healthy,11,47
900067000117412,2017-08-09,,f,healthy,9,46
900067000117453,2017-08-09,,f,healthy,12,47
900067000117390,2017-08-09,,m,healthy,9,45
900067000117476,2017-08-09,,f,healthy,14,51
900067000117416,2017-08-09,,m,healthy,10,48
900067000117458,2017-08-09,,f,healthy,12,49
900067000117459,2017-08-09,,m,healthy,14,50
900067000117449,2017-08-09,,f,healthy,11,47
900067000117441,2017-08-09,,m,healthy,9,48
900067000117471,2017-08-09,,m,healthy,9,48
900067000117446,2017-08-09,,f,healthy,9,45
900067000117423,2017-08-09,,m,healthy,13,47
900067000117465,2017-08-09,,f,healthy,16,54
900067000117478,2017-08-09,,m,healthy,11,49
900067000117411,2017-08-09,,f,healthy,12,49
900067000117438,2017-08-09,,f,healthy,14,51
900067000117466,2017-08-09,,m,healthy,10,45
900067000117387,2017-08-09,,f,healthy,11,51
900067000117475,2017-08-09,,f,healthy,15,54
900067000117406,2017-08-09,,f,healthy,10,48
900067000117444,2017-08-09,,f,healthy,12,51
900067000117432,2017-08-09,,f,healthy,10,48
